date,pickup_limit,rent_limit,ratings_total,trips,request_limit,not_available,availability,return_limit,price_per_day,car_id,car_disabled
2019-03-13,0,0,60,81,0,1,"This car isn’t available",0,46,1233,0
2019-03-13,0,0,none,none,1,0,"This car must be requested at least 1 week in advance at this location",0,81,260,0
2019-03-13,0,0,24,25,0,1,"This car isn’t available",0,38,277,0
2019-03-13,0,0,26,35,0,0,none,0,51,1256,0
2019-03-13,0,0,34,36,0,0,none,0,78,1263,0
2019-03-13,0,0,37,43,0,1,"This car isn’t available",0,100,306,0
2019-03-13,0,0,83,123,0,1,"This car isn’t available",0,36,1287,0
2019-03-13,0,0,28,33,0,1,"This car isn’t available",0,55,331,0
2019-03-13,0,0,106,124,0,1,"This car isn’t available",0,45,1304,0
2019-03-13,0,0,none,none,0,0,"This listing is no longer available on Turo",0,55,353,0
2019-03-13,0,0,5,7,0,0,none,0,68,1323,0
2019-03-13,0,0,13,16,0,0,none,0,137,360,0
2019-03-13,0,0,30,47,0,1,"This car isn’t available",0,49,1361,0
2019-03-13,0,0,77,97,0,0,none,0,38,367,0
2019-03-13,0,0,83,128,0,1,"This car isn’t available",0,44,403,0
2019-03-13,0,0,none,20,0,1,"This car isn’t available",0,34,1374,0
2019-03-13,0,0,none,none,1,0,"This car must be requested at least 1 day in advance at this location",0,179,1403,0
2019-03-13,0,0,105,146,0,1,"This car isn’t available",0,29,437,0
2019-03-13,0,0,41,47,0,0,none,0,47,419,0
2019-03-13,0,0,71,84,0,1,"This car isn’t available",0,99,446,0
2019-03-13,0,0,20,31,0,1,"This car isn’t available",0,55,459,0
2019-03-13,0,0,65,73,0,1,"This car isn’t available",0,37,474,0
2019-03-13,0,0,97,126,0,1,"This car isn’t available",0,174,1472,0
2019-03-13,0,0,29,34,0,1,"This car isn’t available",0,36,1469,0
2019-03-13,0,0,none,none,0,0,none,0,39,517,0
2019-03-13,0,0,30,39,0,1,"This car isn’t available",0,67,1499,0
2019-03-13,0,0,45,51,0,1,"This car isn’t available",0,30,539,0
2019-03-13,0,0,7,14,0,0,none,0,99,546,0
2019-03-13,0,0,3,3,0,1,"This car isn’t available",0,68,1522,0
2019-03-13,0,0,42,67,0,1,"This car isn’t available",0,35,569,0
2019-03-13,0,0,16,15,0,1,"This car isn’t available",0,20,1553,0
2019-03-13,0,0,26,28,0,1,"This car isn’t available",0,44,1562,0
2019-03-13,0,0,17,26,0,1,"This car isn’t available",0,44,585,0
2019-03-13,0,0,36,45,0,1,"This car isn’t available",0,45,605,0
2019-03-13,0,0,12,21,0,1,"This car isn’t available",0,45,621,0
2019-03-13,0,0,3,3,0,1,"This car isn’t available",0,41,1609,0
2019-03-13,0,0,none,none,0,0,none,0,none,632,0
2019-03-13,0,0,74,98,0,1,"This car isn’t available",0,199,1615,0
2019-03-13,0,0,none,2,0,0,none,0,124,1629,0
2019-03-13,0,0,4,4,0,1,"This car isn’t available",0,51,661,0
2019-03-13,0,0,46,55,0,1,"This car isn’t available",0,38,665,0
2019-03-13,0,0,none,none,0,0,none,0,88,1668,0
2019-03-13,0,0,15,16,0,1,"This car isn’t available",0,24,1685,0
2019-03-13,0,0,58,64,0,1,"This car isn’t available",0,54,1701,0
2019-03-13,0,0,81,113,0,0,none,0,499,693,0
2019-03-13,0,0,7,7,1,0,"This car must be requested at least 3 days in advance at this location",0,49,707,0
2019-03-13,0,0,7,10,0,1,"This car isn’t available",0,59,1714,0
2019-03-13,0,0,5,5,0,0,none,0,82,1743,0
2019-03-13,1,0,9,17,0,0,"The owner isn’t available for pickup or return from Mar 13 at 1:00 AM to Mar 27 at 1:00 AM",1,38,1772,0
2019-03-13,1,0,34,49,0,0,"The owner isn’t available for pickup or return from Mar 20 at 1:30 AM to Mar 20 at 5:30 PM",1,27,725,0
2019-03-13,0,0,86,120,0,1,"This car isn’t available",0,29,755,0
2019-03-13,0,0,23,26,0,1,"This car isn’t available",0,36,772,0
2019-03-13,0,0,70,86,0,1,"This car isn’t available",0,25,776,0
2019-03-13,0,0,16,16,0,1,"This car isn’t available",0,40,1791,0
2019-03-13,0,0,3,3,0,0,none,0,34,1444,0
2019-03-13,0,0,76,92,0,1,"This car isn’t available",0,358,490,0
2019-03-16,0,0,161,187,0,1,"This car isn’t available",0,32,1,0
2019-03-16,0,0,56,66,0,1,"This car isn’t available",0,30,785,0
2019-03-16,0,0,14,22,0,1,"This car isn’t available",0,43,815,0
2019-03-16,0,0,6,7,0,0,none,0,38,823,0
2019-03-16,0,0,none,1,1,0,"This car must be requested at least 2 days in advance at this location",0,79,809,0
2019-03-16,0,0,15,21,0,0,none,0,31,1845,0
2019-03-16,0,0,5,6,0,1,"This car isn’t available",0,99,1842,0
2019-03-16,0,0,3,4,0,1,"This car isn’t available",0,68,858,0
2019-03-16,0,0,none,none,0,1,"This car isn’t available",0,79,886,0
2019-03-16,0,0,4,4,0,0,"This vehicle has been disabled by the owner",0,40,897,1
2019-03-16,0,0,59,70,0,1,"This car isn’t available",0,30,911,0
2019-03-16,1,0,3,3,0,0,"The owner isn’t available for pickup or return from Mar 12 at 12:00 AM to Apr 4 at 12:00 AM",1,79,930,0
2019-03-16,0,0,20,26,0,0,none,0,50,940,0
2019-03-16,0,0,none,none,0,0,none,0,29,45,0
2019-03-16,0,0,17,15,0,1,"This car isn’t available",0,48,950,0
2019-03-16,0,0,7,7,0,0,none,0,142,956,0
2019-03-16,0,0,53,58,0,0,none,0,550,984,0
2019-03-16,0,0,8,6,0,0,none,0,50,961,0
2019-03-16,0,0,28,32,0,1,"This car isn’t available",0,49,85,0
2019-03-16,0,0,27,32,0,1,"This car isn’t available",0,51,1881,0
2019-03-16,0,0,6,7,1,0,"This car must be requested at least 2 days in advance at this location",0,56,100,0
2019-03-16,0,0,none,none,0,1,"This car isn’t available",0,159,1006,0
2019-03-16,0,0,7,9,0,0,none,0,83,109,0
2019-03-16,0,0,none,none,0,1,"This car isn’t available",0,199,1898,0
2019-03-16,0,0,11,11,0,1,"This car isn’t available",0,35,2193,0
2019-03-16,0,0,none,none,1,0,"This car must be requested at least 1 day in advance at this location",0,350,1050,0
2019-03-16,0,0,2,4,0,1,"This car isn’t available",0,32,2196,0
2019-03-16,0,0,65,68,0,1,"This car isn’t available",0,44,1073,0
2019-03-16,0,0,20,20,0,1,"This car isn’t available",0,37,1082,0
2019-03-16,0,0,15,16,0,1,"This car isn’t available",0,30,150,0
2019-03-16,0,0,17,21,0,1,"This car isn’t available",0,35,2198,0
2019-03-16,0,0,11,12,0,1,"This car isn’t available",0,148,2205,0
2019-03-16,0,0,29,33,0,1,"This car isn’t available",0,28,1111,0
2019-03-16,0,0,5,4,0,1,"This car isn’t available",0,45,1924,0
2019-03-16,0,0,none,1,0,0,"This vehicle has been disabled by the owner",0,40,1137,1
2019-03-16,0,0,32,37,0,1,"This car isn’t available",0,63,1929,0
2019-03-16,0,0,10,10,1,0,"This car must be requested at least 1 day in advance at this location",0,44,207,0
2019-03-16,0,0,18,18,0,1,"This car isn’t available",0,58,1170,0
2019-03-16,1,0,40,56,0,0,"The owner is available for pickup from 4:00 PM to 10:00 PM on Sundays",0,28,1938,0
2019-03-16,0,0,33,48,0,1,"This car isn’t available",0,49,220,0
2019-03-16,0,0,22,23,0,1,"This car isn’t available",0,64,1185,0
2019-03-16,0,0,11,15,0,1,"This car isn’t available",0,29,1198,0
2019-03-16,0,0,none,none,0,0,none,0,70,249,0
2019-03-16,0,0,142,168,0,1,"This car isn’t available",0,37,1210,0
2019-03-16,0,0,5,8,0,1,"This car isn’t available",0,37,1224,0
2019-03-16,0,0,17,28,0,0,none,0,59,266,0
2019-03-16,0,0,2,3,0,1,"This car isn’t available",0,37,273,0
2019-03-16,0,0,12,17,0,1,"This car isn’t available",0,43,283,0
2019-03-16,0,0,8,10,0,1,"This car isn’t available",0,160,287,0
2019-03-16,1,0,18,28,0,0,"The owner isn’t available for pickup or return from Mar 13 at 10:30 PM to Mar 30 at 11:30 PM",1,25,1262,0
2019-03-16,0,0,103,121,0,1,"This car isn’t available",0,45,314,0
2019-03-16,0,0,2,2,0,1,"This car isn’t available",0,33,1970,0
2019-03-16,0,0,11,10,0,1,"This car isn’t available",0,29,1290,0
2019-03-16,0,0,21,22,0,1,"This car isn’t available",0,48,327,0
2019-03-16,0,0,6,8,0,1,"This car isn’t available",0,20,344,0
2019-03-16,0,0,43,60,0,1,"This car isn’t available",0,40,1321,0
2019-03-16,1,0,14,15,0,0,"The owner isn’t available for pickup or return from Mar 14 at 12:00 PM to Mar 26 at 12:00 PM",1,99,1326,0
2019-03-16,0,0,5,5,0,1,"This car isn’t available",0,64,1336,0
2019-03-16,0,0,3,3,0,0,none,0,116,1340,0
2019-03-16,0,0,112,137,0,1,"This car isn’t available",0,26,362,0
2019-03-16,0,0,55,65,0,0,none,0,29,1356,0
2019-03-16,0,0,35,43,0,1,"This car isn’t available",0,73,395,0
2019-03-16,0,0,none,1,0,1,"This car isn’t available",0,35,1373,0
2019-03-16,0,0,36,36,0,1,"This car isn’t available",0,55,1380,0
2019-03-16,0,0,32,38,0,1,"This car isn’t available",0,25,2005,0
2019-03-16,0,0,5,6,0,1,"This car isn’t available",0,64,2019,0
2019-03-16,0,0,10,9,1,0,"This car must be requested at least 3 days in advance at this location",0,146,420,0
2019-03-16,0,0,105,146,0,1,"This car isn’t available",0,29,437,0
2019-03-16,0,0,24,29,0,0,none,0,65,1412,0
2019-03-16,0,0,9,13,0,1,"This car isn’t available",0,57,1418,0
2019-03-16,0,0,15,26,0,1,"This car isn’t available",0,50,449,0
2019-03-16,0,0,5,5,0,0,none,0,129,2037,0
2019-03-16,0,0,none,4,0,1,"This car isn’t available",0,43,2038,0
2019-03-16,0,0,32,33,0,0,"Sorry, something went wrong. Please try again later or contact customer support if you need further assistance.",0,40,2043,0
2019-03-16,0,0,none,none,0,1,"This car isn’t available",0,38,500,0
2019-03-16,0,0,37,41,0,1,"This car isn’t available",0,46,1462,0
2019-03-16,0,0,35,38,0,0,none,0,89,2049,0
2019-03-16,0,1,none,none,0,0,"This car can be rented for 3 days at most.",0,59,2258,0
2019-03-16,0,0,120,161,0,1,"This car isn’t available",0,40,510,0
2019-03-16,0,0,44,54,0,1,"This car isn’t available",0,49,547,0
2019-03-16,0,0,11,13,0,1,"This car isn’t available",0,46,552,0
2019-03-16,0,0,16,17,0,0,none,0,158,1538,0
2019-03-16,0,0,3,3,0,0,none,0,68,1522,0
2019-03-16,0,0,6,6,0,1,"This car isn’t available",0,148,563,0
2019-03-16,0,0,38,42,0,1,"This car isn’t available",0,21,575,0
2019-03-16,0,0,32,42,0,1,"This car isn’t available",0,186,1571,0
2019-03-16,0,0,none,2,0,1,"This car isn’t available",0,122,2268,0
2019-03-16,1,0,31,43,0,0,"The owner is available for pickup from 4:00 PM to 10:00 PM on Sundays",0,39,2079,0
2019-03-16,0,0,2,2,0,1,"This car isn’t available",0,27,606,0
2019-03-16,0,0,19,22,0,1,"This car isn’t available",0,33,1585,0
2019-03-16,1,0,none,none,0,0,"The owner isn’t available for pickup or return from Mar 12 at 10:00 PM to Mar 20 at 10:00 PM",1,219,2276,0
2019-03-16,0,0,5,5,0,1,"This car isn’t available",0,40,1603,0
2019-03-16,0,0,none,none,0,0,none,0,155,633,0
2019-03-16,0,0,152,182,0,0,none,0,31,642,0
2019-03-16,0,0,none,1,0,0,none,0,29,1634,0
2019-03-16,0,0,17,31,0,1,"This car isn’t available",0,43,646,0
2019-03-16,0,0,31,52,0,1,"This car isn’t available",0,42,664,0
2019-03-16,1,0,32,36,0,0,"The owner is available for pickup from 12:00 PM to 10:00 PM on Sundays",0,23,1657,0
2019-03-16,0,0,none,none,1,0,"This car must be requested at least 1 day in advance at this location",0,75,1681,0
2019-03-16,0,0,30,33,0,1,"This car isn’t available",0,71,674,0
2019-03-16,0,0,6,10,0,1,"This car isn’t available",0,189,690,0
2019-03-16,0,0,31,45,0,1,"This car isn’t available",0,46,2297,0
2019-03-16,0,0,11,9,0,1,"This car isn’t available",0,45,720,0
2019-03-16,0,0,none,none,0,1,"This car isn’t available",0,99,1716,0
2019-03-16,0,0,7,7,0,1,"This car isn’t available",0,35,1738,0
2019-03-16,0,0,55,71,0,1,"This car isn’t available",0,230,1768,0
2019-03-16,0,0,9,18,0,1,"This car isn’t available",0,55,1773,0
2019-03-16,0,0,37,41,0,1,"This car isn’t available",0,35,727,0
2019-03-16,0,0,29,30,0,1,"This car isn’t available",0,57,736,0
2019-03-16,0,0,10,11,0,1,"This car isn’t available",0,78,753,0
2019-03-16,0,0,50,58,0,1,"This car isn’t available",0,129,774,0
2019-03-16,0,0,5,6,0,1,"This car isn’t available",0,99,2302,0
2019-03-16,0,0,84,91,0,0,none,0,58,1812,0
2019-03-16,0,0,11,11,0,0,none,0,100,698,0
2019-03-16,0,0,6,6,0,1,"This car isn’t available",0,39,713,0
2019-03-16,0,0,43,58,0,1,"This car isn’t available",0,41,792,0
2019-03-16,0,0,13,12,0,0,none,0,32,2163,0
2019-03-16,0,0,7,7,0,0,none,0,128,790,0
2019-03-16,0,0,none,none,0,1,"This car isn’t available",0,59,806,0
2019-03-16,0,0,12,15,0,0,none,0,137,1836,0
2019-03-16,0,0,46,56,0,0,none,0,35,828,0
2019-03-16,0,0,none,1,0,0,none,0,99,855,0
2019-03-16,0,0,8,7,0,1,"This car isn’t available",0,89,1850,0
2019-03-16,0,0,none,3,0,1,"This car isn’t available",0,117,880,0
2019-03-16,0,0,2,2,0,0,none,0,57,890,0
2019-03-16,0,0,none,none,0,0,none,0,75,900,0
2019-03-16,0,0,26,25,0,1,"This car isn’t available",0,56,918,0
2019-03-16,0,0,2,2,0,1,"This car isn’t available",0,95,941,0
2019-03-16,0,0,13,14,0,1,"This car isn’t available",0,39,43,0
2019-03-16,0,0,none,1,1,0,"This car must be requested at least 1 day in advance at this location",0,75,2182,0
2019-03-16,0,0,none,none,1,0,"This car must be requested at least 1 week in advance at this location",0,45,1865,0
2019-03-16,0,0,12,15,0,1,"This car isn’t available",0,110,960,0
2019-03-16,0,0,44,51,0,1,"This car isn’t available",0,31,2184,0
2019-03-16,1,0,51,58,0,0,"The owner is available for pickup from 12:00 PM to 10:00 PM on Sundays",0,27,73,0
2019-03-16,0,0,3,2,0,1,"This car isn’t available",0,69,89,0
2019-03-16,0,0,4,4,1,0,"This car must be requested at least 1 day in advance at this location",0,75,993,0
2019-03-16,0,0,3,5,0,1,"This car isn’t available",0,68,1015,0
2019-03-16,0,0,none,none,0,1,"This car isn’t available",0,48,1889,0
2019-03-16,0,0,none,none,0,1,"This car isn’t available",0,59,118,0
2019-03-16,0,0,none,none,0,1,"This car isn’t available",0,199,1898,0
2019-03-16,0,0,11,11,0,1,"This car isn’t available",0,35,2193,0
2019-03-16,0,0,19,39,0,1,"This car isn’t available",0,50,1038,0
2019-03-16,0,0,56,61,0,1,"This car isn’t available",0,39,1904,0
2019-03-16,0,0,2,2,0,1,"This car isn’t available",0,40,1070,0
2019-03-16,0,0,2,7,0,1,"This car isn’t available",0,50,1911,0
2019-03-16,0,0,3,3,0,0,none,0,64,157,0
2019-03-16,0,0,42,45,0,1,"This car isn’t available",0,88,2316,0
2019-03-16,0,0,none,none,1,0,"This car must be requested at least 1 day in advance at this location",0,99,2204,0
2019-03-16,0,0,9,10,0,1,"This car isn’t available",0,27,1105,0
2019-03-16,0,0,none,none,0,1,"This car isn’t available",0,24,1140,0
2019-03-16,0,0,7,8,0,0,none,0,99,187,0
2019-03-16,0,0,52,59,0,1,"This car isn’t available",0,199,197,0
2019-03-16,0,0,88,119,0,0,none,0,39,1143,0
2019-03-16,0,0,26,32,0,1,"This car isn’t available",0,30,210,0
2019-03-16,0,0,13,14,0,1,"This car isn’t available",0,30,2320,0
2019-03-16,0,0,16,18,0,1,"This car isn’t available",0,60,1177,0
2019-03-16,0,0,20,34,0,1,"This car isn’t available",0,43,223,0
2019-03-16,0,1,20,20,0,0,"This car must be rented for at least 2 weeks.",0,36,1199,0
2019-03-16,0,0,7,8,0,1,"This car isn’t available",0,39,237,0
2019-03-16,0,0,29,38,0,1,"This car isn’t available",0,69,247,0
2019-03-16,0,0,34,37,0,0,none,0,93,1957,0
2019-03-16,0,0,13,21,0,1,"This car isn’t available",0,28,2349,0
2019-03-16,0,0,140,172,0,1,"This car isn’t available",0,35,1240,0
2019-03-16,0,0,none,none,0,1,"This car isn’t available",0,138,275,0
2019-03-16,0,1,2,2,0,0,"This car can be rented for 5 days at most.",0,109,2225,0
2019-03-16,0,0,3,3,0,0,none,0,55,1257,0
2019-03-16,0,0,120,143,0,1,"This car isn’t available",0,30,309,0
2019-03-16,0,0,51,53,0,1,"This car isn’t available",0,65,315,0
2019-03-16,0,0,16,18,0,1,"This car isn’t available",0,26,2228,0
2019-03-16,0,0,20,21,0,1,"This car isn’t available",0,35,1292,0
2019-03-16,0,0,117,133,0,1,"This car isn’t available",0,37,1298,0
2019-03-16,0,0,35,37,0,1,"This car isn’t available",0,30,347,0
2019-03-16,0,0,11,13,0,1,"This car isn’t available",0,60,1988,0
2019-03-16,0,0,5,7,0,0,none,0,68,1323,0
2019-03-16,0,0,89,97,0,1,"This car isn’t available",0,38,357,0
2019-03-16,0,0,13,15,0,1,"This car isn’t available",0,119,1351,0
2019-03-16,0,0,11,12,0,1,"This car isn’t available",0,45,2000,0
2019-03-16,0,0,22,23,1,0,"This car must be requested at least 2 days in advance at this location",0,42,1365,0
2019-03-16,0,0,none,none,0,1,"This car isn’t available",0,32,2002,0
2019-03-16,0,0,140,162,0,1,"This car isn’t available",0,37,404,0
2019-03-16,0,0,none,5,0,0,none,0,50,1395,0
2019-03-16,0,0,36,36,0,1,"This car isn’t available",0,55,1380,0
2019-03-16,0,0,none,none,0,0,none,0,60,409,0
2019-03-16,0,0,89,96,0,1,"This car isn’t available",0,68,2027,0
2019-03-16,0,0,53,67,0,1,"This car isn’t available",0,65,440,0
2019-03-16,1,0,none,none,0,0,"The owner is available for pickup from 11:00 AM to 5:00 PM on Sundays",0,64,2035,0
2019-03-16,0,0,5,8,0,1,"This car isn’t available",0,61,1417,0
2019-03-16,0,0,4,5,0,1,"This car isn’t available",0,45,1436,0
2019-03-16,0,0,46,51,0,1,"This car isn’t available",0,29,463,0
2019-03-16,0,0,66,74,0,0,none,0,34,483,0
2019-03-16,0,0,32,41,0,1,"This car isn’t available",0,35,1445,0
2019-03-16,0,0,56,81,0,0,none,0,60,1460,0
2019-03-16,1,0,2,2,0,0,"The owner isn’t available for pickup or return from Mar 12 at 10:00 PM to Mar 20 at 10:00 PM",1,48,2252,0
2019-03-16,0,0,none,1,0,1,"This car isn’t available",0,31,1488,0
2019-03-16,0,0,17,27,0,1,"This car isn’t available",0,41,518,0
2019-03-16,0,1,none,none,0,0,"This car can be rented for 3 days at most.",0,59,2258,0
2019-03-16,0,0,25,35,0,1,"This car isn’t available",0,29,529,0
2019-03-16,0,0,38,46,0,1,"This car isn’t available",0,49,544,0
2019-03-16,0,0,27,27,0,0,none,0,67,559,0
2019-03-16,0,0,none,none,1,0,"This car must be requested at least 1 day in advance at this location",0,98,2058,0
2019-03-16,0,0,4,6,0,1,"This car isn’t available",0,37,1540,0
2019-03-16,0,0,40,51,0,1,"This car isn’t available",0,44,566,0
2019-03-16,0,0,53,57,0,1,"This car isn’t available",0,25,576,0
2019-03-16,0,0,32,42,0,1,"This car isn’t available",0,192,1571,0
2019-03-16,0,0,3,3,0,1,"This car isn’t available",0,74,1577,0
2019-03-16,0,0,31,31,0,1,"This car isn’t available",0,47,2084,0
2019-03-16,0,0,162,214,0,1,"This car isn’t available",0,61,608,0
2019-03-16,0,0,17,18,0,0,none,0,54,1591,0
2019-03-16,0,0,8,7,0,1,"This car isn’t available",0,59,1610,0
2019-03-16,0,0,44,58,0,1,"This car isn’t available",0,27,624,0
2019-03-16,0,0,11,18,0,1,"This car isn’t available",0,50,1614,0
2019-03-16,0,0,37,52,0,1,"This car isn’t available",0,31,1643,0
2019-03-16,0,0,34,42,0,1,"This car isn’t available",0,34,2284,0
2019-03-16,0,0,none,none,0,1,"This car isn’t available",0,68,2098,0
2019-03-16,0,0,13,17,0,0,none,0,102,2285,0
2019-03-16,0,0,none,none,0,0,none,0,109,2107,0
2019-03-16,0,0,76,84,0,1,"This car isn’t available",0,124,1680,0
2019-03-16,0,0,19,21,0,1,"This car isn’t available",0,40,677,0
2019-03-16,0,0,46,55,0,0,none,0,39,1690,0
2019-03-16,0,0,109,136,0,0,none,0,32,711,0
2019-03-16,1,0,6,6,0,0,"The owner isn’t available for pickup or return from Mar 22 at 11:00 PM to Mar 24 at 11:00 PM",1,49,723,0
2019-03-16,0,0,41,62,0,1,"This car isn’t available",0,50,1730,0
2019-03-16,0,0,14,15,0,1,"This car isn’t available",0,53,2135,0
2019-03-16,0,0,25,33,0,1,"This car isn’t available",0,69,1762,0
2019-03-16,0,0,10,10,0,0,none,0,49,2362,0
2019-03-16,0,0,36,42,0,1,"This car isn’t available",0,34,1780,0
2019-03-16,0,0,33,38,0,1,"This car isn’t available",0,33,746,0
2019-03-16,0,0,86,120,0,1,"This car isn’t available",0,29,755,0
2019-03-16,0,0,29,31,0,1,"This car isn’t available",0,40,1790,0
2019-03-16,0,0,21,23,0,0,none,0,133,1805,0
2019-03-16,0,0,10,13,0,1,"This car isn’t available",0,30,1817,0
2019-03-16,0,0,31,45,0,1,"This car isn’t available",0,45,2297,0
2019-03-16,0,0,14,15,0,1,"This car isn’t available",0,129,1703,0
2019-03-13,0,0,2,2,0,1,"This car isn’t available",0,45,8,0
2019-03-13,0,0,none,none,1,0,"This car must be requested at least 1 day in advance at this location",0,68,788,0
2019-03-13,0,0,46,50,0,0,none,0,79,19,0
2019-03-13,0,0,none,none,0,0,none,0,101,817,0
2019-03-13,0,0,50,57,0,0,none,0,36,829,0
2019-03-13,0,0,77,81,0,1,"This car isn’t available",0,35,869,0
2019-03-13,0,0,41,45,0,1,"This car isn’t available",0,35,877,0
2019-03-13,0,0,20,21,0,1,"This car isn’t available",0,18,901,0
2019-03-13,1,0,28,34,0,0,"The owner isn’t available for pickup or return from Mar 13 at 1:00 AM to Mar 27 at 1:00 AM",1,28,923,0
2019-03-13,0,0,none,none,0,0,none,0,none,935,0
2019-03-13,0,0,5,6,0,1,"This car isn’t available",0,23,33,0
2019-03-13,0,0,88,100,0,1,"This car isn’t available",0,48,58,0
2019-03-13,0,0,2,2,0,1,"This car isn’t available",0,58,962,0
2019-03-13,0,0,31,35,0,1,"This car isn’t available",0,35,974,0
2019-03-13,0,0,2,4,0,1,"This car isn’t available",0,33,76,0
2019-03-13,0,0,10,8,0,0,none,0,98,988,0
2019-03-13,0,0,26,44,0,1,"This car isn’t available",0,89,1014,0
2019-03-13,0,0,97,112,0,0,none,0,29,116,0
2019-03-13,0,0,21,22,0,1,"This car isn’t available",0,30,107,0
2019-03-13,1,0,105,138,0,0,"The owner isn’t available for pickup or return from Mar 20 at 1:30 AM to Mar 20 at 5:30 PM",1,26,136,0
2019-03-13,0,0,23,43,0,1,"This car isn’t available",0,29,1042,0
2019-03-13,0,0,33,38,0,1,"This car isn’t available",0,78,1058,0
2019-03-13,0,0,29,33,0,1,"This car isn’t available",0,30,1075,0
2019-03-13,0,0,none,none,0,0,none,0,63,162,0
2019-03-13,0,0,18,25,0,1,"This car isn’t available",0,35,1093,0
2019-03-13,0,0,8,9,0,1,"This car isn’t available",0,27,174,0
2019-03-13,0,0,5,5,0,1,"This car isn’t available",0,44,1119,0
2019-03-13,0,0,2,2,0,0,none,0,55,1127,0
2019-03-13,0,0,60,74,0,1,"This car isn’t available",0,39,200,0
2019-03-13,0,0,34,36,0,1,"This car isn’t available",0,49,1144,0
2019-03-13,0,0,50,54,0,1,"This car isn’t available",0,87,1167,0
2019-03-13,0,0,8,7,0,1,"This car isn’t available",0,54,1186,0
2019-03-13,0,0,none,none,0,0,none,0,125,235,0
2019-03-13,0,0,none,2,0,1,"This car isn’t available",0,38,240,0
2019-03-13,0,0,10,11,0,1,"This car isn’t available",0,24,1214,0
2019-03-13,0,0,32,34,0,1,"This car isn’t available",0,150,1229,0
2019-03-13,0,0,20,19,0,1,"This car isn’t available",0,110,261,0
2019-03-13,0,0,6,6,0,0,none,0,31,278,0
2019-03-13,0,0,13,16,0,0,none,0,143,288,0
2019-03-13,0,0,6,5,0,0,none,0,59,301,0
2019-03-13,0,0,31,33,0,0,none,0,300,319,0
2019-03-13,0,0,10,10,0,1,"This car isn’t available",0,30,322,0
2019-03-13,0,0,33,39,0,0,none,0,35,332,0
2019-03-13,0,0,147,190,0,1,"This car isn’t available",0,29,346,0
2019-03-13,0,0,7,9,0,0,none,0,39,1312,0
2019-03-13,0,0,23,34,0,1,"This car isn’t available",0,34,1335,0
2019-03-13,0,0,27,31,0,1,"This car isn’t available",0,28,1345,0
2019-03-13,0,0,71,94,0,1,"This car isn’t available",0,64,377,0
2019-03-13,0,0,15,18,0,0,none,0,50,385,0
2019-03-13,0,0,35,46,0,1,"This car isn’t available",0,45,1368,0
2019-03-13,0,0,20,21,0,1,"This car isn’t available",0,24,1375,0
2019-03-13,0,0,none,none,1,0,"This car must be requested at least 1 day in advance at this location",0,193,1404,0
2019-03-13,0,0,3,8,0,0,none,0,39,438,0
