,extras,car_id
267,Post-trip cleaning,460
268,Post-trip cleaning,1525
269,Child safety seat,1628
270,Unlimited mileage,1763
271,Child safety seat,1859
272,One-way trip,2010
273,Post-trip cleaning,2142
274,Prepaid refuel,846
275,Prepaid refuel,970
276,Portable GPS,1087
277,Stroller,239
278,Post-trip cleaning,1329
279,Unlimited mileage,463
280,Post-trip cleaning,1534
281,Post-trip cleaning,1646
282,Post-trip cleaning,724
283,Prepaid refuel,1868
284,Post-trip cleaning,2029
285,Child safety seat,2148
286,Unlimited mileage,850
287,Post-trip cleaning,976
288,Post-trip cleaning,163
289,Beach towel,242
290,Post-trip cleaning,1326
291,Child safety seat,1438
292,Prepaid refuel,1552
293,Post-trip cleaning,1651
294,Unlimited mileage,747
295,Unlimited mileage,2186
296,Phone mount,2030
297,Post-trip cleaning,2303
298,One-way trip,852
299,Unlimited mileage,73
300,One-way trip,1094
301,Prepaid refuel,1205
302,Portable GPS,1345
303,Unlimited mileage,482
304,Child safety seat,1557
305,Unlimited mileage,1657
306,Post-trip cleaning,766
307,Prepaid refuel,1884
308,Prepaid refuel,2245
309,Post-trip cleaning,2160
310,Phone mount,859
311,Unlimited mileage,986
312,Unlimited mileage,1102
313,Cooler,1227
314,Prepaid refuel,365
315,Unlimited mileage,1443
316,Unlimited mileage,571
317,Post-trip cleaning,1660
318,Post-trip cleaning,759
319,Prepaid refuel,1899
320,Prepaid refuel,2042
321,Stroller,2266
322,Prepaid refuel,872
323,Post-trip cleaning,91
324,Child safety seat,179
325,Child safety seat,1234
326,Unlimited mileage,376
327,Child safety seat,487
328,Portable WiFi hotspot,565
329,Unlimited mileage,1665
330,Prepaid refuel,745
331,Post-trip cleaning,1906
332,Portable GPS,2252
333,Post-trip cleaning,2345
334,Post-trip cleaning,876
335,Prepaid refuel,95
336,Portable GPS,1119
337,Child safety seat,1232
338,Prepaid refuel,369
339,Post-trip cleaning,1462
340,Post-trip cleaning,1571
341,Pet fee,1680
342,Post-trip cleaning,1787
343,Post-trip cleaning,1917
344,Post-trip cleaning,2255
345,Prepaid refuel,2321
346,Camera,896
347,Post-trip cleaning,1001
348,Prepaid refuel,1138
349,Unlimited mileage,292
350,Child safety seat,380
351,Post-trip cleaning,1468
352,Prepaid refuel,1574
353,Child safety seat,685
354,Post-trip cleaning,1809
355,Post-trip cleaning,2198
356,Portable WiFi hotspot,2260
357,Roof rack,2325
358,Child safety seat,899
359,Portable GPS,1012
360,Child safety seat,185
361,Unlimited mileage,1263
362,Post-trip cleaning,1371
363,Post-trip cleaning,498
364,Portable GPS,587
365,Portable WiFi hotspot,1687
366,Post-trip cleaning,1798
367,One-way trip,1926
368,Post-trip cleaning,2067
369,Prepaid refuel,2337
370,Portable GPS,889
371,Post-trip cleaning,113
372,Post-trip cleaning,195
373,Prepaid refuel,1265
374,Post-trip cleaning,1385
375,Post-trip cleaning,1481
376,Prepaid refuel,1580
377,Portable GPS,1699
378,Post-trip cleaning,1801
379,Prepaid refuel,1932
380,One-way trip,2077
381,Child safety seat,2341
382,Unlimited mileage,924
383,Unlimited mileage,116
384,Portable WiFi hotspot,198
385,Post-trip cleaning,1269
386,Post-trip cleaning,1389
387,Unlimited mileage,507
388,Unlimited mileage,1586
389,Bike rack,691
390,Post-trip cleaning,1820
391,Child safety seat,1940
392,Post-trip cleaning,2273
393,Post-trip cleaning,2367
394,Post-trip cleaning,919
395,Child safety seat,127
396,Post-trip cleaning,1149
397,Prepaid refuel,311
398,Prepaid refuel,1390
399,Phone mount,515
400,Unlimited mileage,615
401,Prepaid refuel,693
402,Child safety seat,254
403,Unlimited mileage,1951
404,Portable WiFi hotspot,2279
405,Unlimited mileage,2369
406,Tablet,933
407,Unlimited mileage,135
408,Bike,1170
409,Prepaid refuel,313
410,Phone mount,428
411,Prepaid refuel,1490
412,Post-trip cleaning,1595
413,Portable GPS,699
414,Unlimited mileage,277
415,Prepaid refuel,1956
416,Post-trip cleaning,2095
417,Prepaid refuel,2396
418,Unlimited mileage,39
419,Post-trip cleaning,139
420,Sled,1158
421,Portable GPS,314
422,Unlimited mileage,430
423,Unlimited mileage,1510
424,Phone mount,1606
425,Post-trip cleaning,702
426,Post-trip cleaning,259
427,Child safety seat,1965
428,One-way trip,2100
429,Post-trip cleaning,793
430,Bike,30
431,Unlimited mileage,1037
432,Pet fee,215
433,Hand truck,1291
434,Gear rack,432
435,Post-trip cleaning,538
436,Prepaid refuel,628
437,One-way trip,723
438,Child safety seat,2164
439,Post-trip cleaning,1972
440,Post-trip cleaning,2107
441,Child safety seat,11
442,Prepaid refuel,36
443,Child safety seat,1042
444,Post-trip cleaning,1179
445,Post-trip cleaning,1295
446,One-way trip,439
447,Unlimited mileage,540
448,Portable WiFi hotspot,637
449,Post-trip cleaning,1721
450,Prepaid refuel,2168
451,Child safety seat,1977
452,Portable GPS,2115
453,Camp chair,19
454,Prepaid refuel,946
455,Post-trip cleaning,1065
456,Phone mount,228
457,Prepaid refuel,343
458,Prepaid refuel,1421
459,Post-trip cleaning,1504
460,Child safety seat,645
461,Post-trip cleaning,1740
462,Child safety seat,2173
463,Air mattress,1991
464,Phone mount,2124
465,Helmet,22
466,Portable WiFi hotspot,963
467,Child safety seat,151
468,Portable GPS,1199
469,Post-trip cleaning,1315
470,Unlimited mileage,457
471,Prepaid refuel,1515
472,Air mattress,1626
473,Child safety seat,1762
474,Prepaid refuel,1858
475,Prepaid refuel,2016
476,Prepaid refuel,2142
477,Post-trip cleaning,791
478,Post-trip cleaning,3
479,Prepaid refuel,11
480,Post-trip cleaning,12
481,Post-trip cleaning,19
483,Child safety seat,821
484,Post-trip cleaning,846
485,Prepaid refuel,827
486,Portable WiFi hotspot,851
487,Post-trip cleaning,869
488,Prepaid refuel,862
489,Beach towel,866
490,Pet fee,876
491,Child safety seat,898
492,Post-trip cleaning,889
493,Prepaid refuel,904
494,Prepaid refuel,913
495,Post-trip cleaning,921
496,Portable GPS,934
497,Portable GPS,940
498,Unlimited mileage,31
499,Child safety seat,46
500,Prepaid refuel,50
501,Child safety seat,58
503,Post-trip cleaning,956
504,Unlimited mileage,970
505,Child safety seat,975
506,Prepaid refuel,72
507,Prepaid refuel,82
508,Portable GPS,88
509,Prepaid refuel,990
510,One-way trip,1000
511,Prepaid refuel,1005
512,Unlimited mileage,109
513,Prepaid refuel,114
514,Prepaid refuel,125
515,Prepaid refuel,121
516,Post-trip cleaning,136
517,Prepaid refuel,140
518,Post-trip cleaning,1031
519,Prepaid refuel,1043
520,Post-trip cleaning,1058
521,Stroller,1081
523,Post-trip cleaning,152
524,Picnic basket,158
525,Post-trip cleaning,1091
526,Post-trip cleaning,1098
527,Post-trip cleaning,1111
528,Post-trip cleaning,179
529,Post-trip cleaning,1108
530,Post-trip cleaning,1135
531,Pet fee,1134
532,Phone mount,192
533,Child safety seat,206
534,Post-trip cleaning,200
535,Post-trip cleaning,1169
536,Child safety seat,209
537,Post-trip cleaning,1159
538,Cooler,1176
539,Post-trip cleaning,220
540,Post-trip cleaning,1183
541,Unlimited mileage,229
543,Child safety seat,236
544,Prepaid refuel,1191
545,Bike rack,1193
546,Prepaid refuel,245
547,Prepaid refuel,1218
548,Prepaid refuel,1222
549,Child safety seat,1230
550,Unlimited mileage,1241
551,Child safety seat,1260
552,Prepaid refuel,308
553,Child safety seat,1254
554,Pet fee,1269
555,Unlimited mileage,312
556,Post-trip cleaning,1282
557,Prepaid refuel,1290
558,Post-trip cleaning,319
559,Child safety seat,344
560,Post-trip cleaning,339
561,Pet fee,348
563,Post-trip cleaning,1316
564,Prepaid refuel,1322
565,Unlimited mileage,1326
566,Prepaid refuel,1344
567,Unlimited mileage,365
568,Prepaid refuel,366
569,Stroller,377
570,Prepaid refuel,1365
571,Post-trip cleaning,393
572,Post-trip cleaning,1384
573,Portable WiFi hotspot,1387
574,Prepaid refuel,1389
575,Post-trip cleaning,426
576,Post-trip cleaning,419
577,Child safety seat,430
578,Snowboard,1406
579,Child safety seat,440
580,Prepaid refuel,443
581,Post-trip cleaning,1417
583,Post-trip cleaning,470
584,Child safety seat,1435
585,Prepaid refuel,473
586,Portable GPS,466
587,Prepaid refuel,484
588,Prepaid refuel,1444
589,Unlimited mileage,1457
590,One-way trip,1464
591,Camping tent,496
592,Child safety seat,503
593,Post-trip cleaning,1484
594,Prepaid refuel,512
595,Prepaid refuel,515
596,Phone mount,1506
597,Portable GPS,1510
598,One-way trip,528
599,Child safety seat,531
600,Portable GPS,1500
601,Prepaid refuel,1504
603,Portable WiFi hotspot,1515
604,Child safety seat,1532
605,Unlimited mileage,1552
606,Portable GPS,1555
607,One-way trip,569
608,Post-trip cleaning,579
609,Portable GPS,1562
610,Post-trip cleaning,1567
611,Portable WiFi hotspot,1570
612,Prepaid refuel,609
613,Prepaid refuel,598
614,Post-trip cleaning,605
615,Unlimited mileage,616
616,Pet fee,620
617,Prepaid refuel,1606
618,Camping gear,1612
619,Unlimited mileage,632
620,Prepaid refuel,635
621,Unlimited mileage,1619
623,Portable GPS,1626
624,One-way trip,1630
625,Post-trip cleaning,1650
626,Post-trip cleaning,1655
627,Prepaid refuel,665
628,Portable WiFi hotspot,671
629,Prepaid refuel,1676
630,Prepaid refuel,673
631,Unlimited mileage,686
632,Child safety seat,689
633,Tablet,1697
634,Post-trip cleaning,1705
635,Post-trip cleaning,698
636,Unlimited mileage,712
637,Prepaid refuel,703
638,Kayak,723
639,Prepaid refuel,1721
640,One-way trip,1737
641,Unlimited mileage,1740
643,Prepaid refuel,1756
644,One-way trip,1776
645,Child safety seat,730
646,Unlimited mileage,736
647,One-way trip,769
648,Phone mount,745
649,Prepaid refuel,764
650,Portable GPS,1794
651,Post-trip cleaning,1810
652,Unlimited mileage,1799
653,Post-trip cleaning,1805
654,Phone mount,1825
655,Sports gear,286
656,Prepaid refuel,287
657,Post-trip cleaning,262
658,Post-trip cleaning,1832
659,Unlimited mileage,1830
660,Unlimited mileage,2174
661,Stroller,2176
663,Prepaid refuel,1859
664,Portable WiFi hotspot,1865
665,Prepaid refuel,2185
666,Post-trip cleaning,2188
667,Prepaid refuel,1897
668,Prepaid refuel,2197
669,Post-trip cleaning,1908
670,Prepaid refuel,2198
671,Prepaid refuel,2205
672,Portable GPS,1929
673,Prepaid refuel,1943
674,Post-trip cleaning,2210
675,Prepaid refuel,2218
676,Prepaid refuel,1962
677,Pet fee,1965
678,One-way trip,2228
679,Portable WiFi hotspot,1977
680,Phone mount,1987
681,Cooler,2237
683,One-way trip,2017
684,Phone mount,2029
685,One-way trip,2030
686,Post-trip cleaning,2035
687,Prepaid refuel,2039
688,One-way trip,2048
689,Post-trip cleaning,2053
690,Prepaid refuel,2263
691,Post-trip cleaning,2059
692,Portable GPS,2071
693,Post-trip cleaning,2080
694,Child safety seat,2278
695,Prepaid refuel,2094
696,Air mattress,2096
697,Prepaid refuel,2285
698,Prepaid refuel,2114
699,Post-trip cleaning,2292
700,Golf clubs,2122
701,Phone mount,2125
703,Camp chair,2140
704,Prepaid refuel,2147
705,Prepaid refuel,2303
706,Prepaid refuel,2158
707,Unlimited mileage,2266
708,Child safety seat,2308
709,Bike,2312
710,Unlimited mileage,2351
711,Roof rack,2331
712,Roof rack,2340
713,Prepaid refuel,2365
714,Pet fee,2381
715,Unlimited mileage,2375
740,Child safety seat,846
741,Pet fee,970
742,Roof rack,169
743,Unlimited mileage,1203
744,Prepaid refuel,356
745,Post-trip cleaning,472
746,Prepaid refuel,1532
747,Prepaid refuel,648
748,Post-trip cleaning,1776
749,One-way trip,1865
750,Child safety seat,2023
751,Post-trip cleaning,2148
752,Portable GPS,848
753,Prepaid refuel,980
754,Prepaid refuel,1091
755,Unlimited mileage,1193
756,Unlimited mileage,360
757,Stroller,464
758,Post-trip cleaning,1539
759,Unlimited mileage,1651
760,Portable GPS,730
761,Post-trip cleaning,2185
762,Cooler,2026
763,Unlimited mileage,2303
764,Unlimited mileage,833
765,Unlimited mileage,81
766,Post-trip cleaning,1099
767,Child safety seat,1205
768,Child safety seat,1345
769,Portable GPS,1440
770,Post-trip cleaning,1557
771,Child safety seat,659
772,Child safety seat,752
773,Post-trip cleaning,1884
774,Post-trip cleaning,2245
775,Phone mount,2160
776,Unlimited mileage,869
777,Child safety seat,78
778,Post-trip cleaning,1115
779,Snorkeling gear,1208
780,Post-trip cleaning,1354
781,One-way trip,484
782,Child safety seat,562
783,Portable GPS,665
784,Child safety seat,1782
785,One-way trip,1898
786,Post-trip cleaning,2040
787,Portable GPS,2266
788,Post-trip cleaning,864
789,Post-trip cleaning,998
790,Prepaid refuel,1116
791,Unlimited mileage,1229
792,Post-trip cleaning,1356
793,Prepaid refuel,1453
794,Post-trip cleaning,580
795,Child safety seat,1670
796,Phone mount,762
797,Post-trip cleaning,1905
798,Unlimited mileage,2049
799,Post-trip cleaning,2307
800,One-way trip,881
801,One-way trip,992
802,Child safety seat,1119
803,Camping tent,1226
804,Post-trip cleaning,1363
805,Post-trip cleaning,490
806,Prepaid refuel,1565
807,Prepaid refuel,1678
808,Prepaid refuel,1786
809,Camping gear,1914
810,One-way trip,2254
811,Roof rack,2318
812,Child safety seat,882
813,Post-trip cleaning,100
814,Unlimited mileage,1134
815,Portable WiFi hotspot,292
816,Post-trip cleaning,380
817,Unlimited mileage,1468
818,Hand truck,1567
819,Post-trip cleaning,674
820,Post-trip cleaning,776
821,Phone mount,1920
822,Post-trip cleaning,2260
823,Child safety seat,2325
824,Post-trip cleaning,886
825,Portable GPS,1007
826,Child safety seat,188
827,Unlimited mileage,305
828,Post-trip cleaning,396
829,Portable GPS,496
830,Child safety seat,587
831,Post-trip cleaning,689
832,Portable GPS,1790
833,Child safety seat,1926
834,Child safety seat,2066
835,Post-trip cleaning,2337
836,Portable GPS,878
837,Post-trip cleaning,1019
838,Prepaid refuel,194
839,Portable WiFi hotspot,309
840,Post-trip cleaning,404
841,Portable WiFi hotspot,1478
842,Post-trip cleaning,612
843,Unlimited mileage,1696
844,Unlimited mileage,1800
845,Unlimited mileage,1932
846,Child safety seat,2077
847,Portable GPS,2341
848,Prepaid refuel,910
849,Portable WiFi hotspot,124
850,Unlimited mileage,207
851,Portable WiFi hotspot,300
852,Post-trip cleaning,405
853,Portable GPS,505
854,Child safety seat,603
855,Post-trip cleaning,1703
856,Prepaid refuel,1819
857,Post-trip cleaning,1938
858,Prepaid refuel,2086
859,Prepaid refuel,2366
860,Child safety seat,918
861,Cooler,120
862,One-way trip,1161
863,Post-trip cleaning,1258
864,Fishing rod,406
865,Inverter,1488
866,Portable WiFi hotspot,614
867,Post-trip cleaning,693
868,Child safety seat,285
869,Post-trip cleaning,2215
870,Post-trip cleaning,2279
871,Post-trip cleaning,2369
872,Unlimited mileage,933
873,Post-trip cleaning,1023
874,Portable GPS,1169
875,Stroller,1280
876,Child safety seat,1398
877,Beach gear,521
878,Prepaid refuel,618
879,Post-trip cleaning,711
880,Child safety seat,256
881,Unlimited mileage,1956
882,Prepaid refuel,2282
883,Post-trip cleaning,2396
884,Prepaid refuel,940
885,Portable GPS,138
886,Post-trip cleaning,211
887,Post-trip cleaning,1289
888,Prepaid refuel,421
889,Portable WiFi hotspot,1492
890,Stroller,623
891,Child safety seat,717
892,Camping gear,290
893,Unlimited mileage,2225
894,Child safety seat,2100
895,Cooler,10
896,Cooler,942
897,Portable GPS,1028
898,Unlimited mileage,1174
899,Unlimited mileage,318
900,One-way trip,432
901,Prepaid refuel,528
902,Post-trip cleaning,1610
903,Beach gear,723
904,Unlimited mileage,2163
905,Prepaid refuel,1972
906,Post-trip cleaning,2110
907,Post-trip cleaning,797
908,Child safety seat,44
909,Prepaid refuel,1047
910,Post-trip cleaning,218
911,Post-trip cleaning,344
912,Prepaid refuel,1408
913,Child safety seat,530
914,Post-trip cleaning,632
915,Child safety seat,1732
916,Post-trip cleaning,2168
917,Prepaid refuel,1977
918,One-way trip,2115
919,Prepaid refuel,7
920,Portable GPS,48
921,Post-trip cleaning,1045
922,Portable GPS,221
923,Post-trip cleaning,1297
924,Post-trip cleaning,443
925,Post-trip cleaning,1500
926,Pet fee,641
927,Post-trip cleaning,1737
928,Unlimited mileage,1836
929,Prepaid refuel,1987
930,Child safety seat,2295
931,Unlimited mileage,21
932,Post-trip cleaning,66
933,Post-trip cleaning,1075
934,Post-trip cleaning,1197
935,Portable GPS,1304
936,Prepaid refuel,1427
937,Post-trip cleaning,1511
938,Post-trip cleaning,1621
939,Bike rack,1745
940,Post-trip cleaning,1843
941,Prepaid refuel,1997
942,Air mattress,2132
943,Child safety seat,24
944,Post-trip cleaning,970
945,Child safety seat,1087
946,Post-trip cleaning,1203
947,Post-trip cleaning,356
948,Prepaid refuel,1435
949,Child safety seat,1531
950,Prepaid refuel,1645
951,Post-trip cleaning,1775
952,Unlimited mileage,1865
953,Prepaid refuel,2029
954,Unlimited mileage,2147
955,Unlimited mileage,8
956,Unlimited mileage,794
957,Child safety seat,784
958,Post-trip cleaning,803
959,Phone mount,14
960,Pet fee,21
963,Stroller,830
964,Cooler,832
965,Child safety seat,857
966,Post-trip cleaning,871
967,Hand truck,881
968,Child safety seat,881
969,Unlimited mileage,885
970,Phone mount,889
971,Unlimited mileage,906
972,Post-trip cleaning,926
973,Child safety seat,928
974,Unlimited mileage,935
975,Post-trip cleaning,29
976,Post-trip cleaning,31
977,Cooler,37
978,Post-trip cleaning,51
979,Unlimited mileage,59
980,Prepaid refuel,950
983,Post-trip cleaning,69
984,Unlimited mileage,984
985,Post-trip cleaning,78
986,Post-trip cleaning,89
987,Post-trip cleaning,94
988,Unlimited mileage,1000
989,Post-trip cleaning,1007
990,Post-trip cleaning,1017
991,Portable WiFi hotspot,123
992,Cooler,117
993,Unlimited mileage,130
994,Prepaid refuel,1025
995,Child safety seat,140
996,Unlimited mileage,1039
997,Post-trip cleaning,1054
998,Child safety seat,1053
999,Unlimited mileage,1068
1000,Prepaid refuel,1085
1003,Bike rack,163
1004,Prepaid refuel,1098
1005,Cooler,174
1006,Post-trip cleaning,1105
1007,Child safety seat,1117
1008,Post-trip cleaning,1136
1009,Child safety seat,182
1010,Hiking backpack,192
1011,Prepaid refuel,197
1012,Post-trip cleaning,202
1013,Post-trip cleaning,1151
1014,Post-trip cleaning,1158
1015,Phone mount,1173
1016,Camera,1176
1017,Prepaid refuel,1180
1018,Post-trip cleaning,225
1019,Post-trip cleaning,229
1020,Child safety seat,1197
1023,Air mattress,242
1024,Post-trip cleaning,251
1025,Beach gear,1208
1026,Child safety seat,1228
1027,Post-trip cleaning,1225
1028,Post-trip cleaning,1241
1029,Post-trip cleaning,293
1030,Prepaid refuel,1263
1031,Unlimited mileage,1268
1032,Unlimited mileage,311
1033,Post-trip cleaning,1273
1034,Portable WiFi hotspot,1280
1035,Camera,316
1036,Phone mount,1291
1037,Post-trip cleaning,335
1038,Unlimited mileage,1297
1039,Post-trip cleaning,1300
1040,Post-trip cleaning,1305
1043,Prepaid refuel,1330
1044,Post-trip cleaning,1345
1045,Post-trip cleaning,1353
1046,Portable GPS,1355
1047,Child safety seat,1359
1048,Roof rack,372
1049,Child safety seat,393
1050,Prepaid refuel,1374
1051,Prepaid refuel,404
1052,Post-trip cleaning,1378
1053,Prepaid refuel,410
1054,Phone mount,414
1055,Child safety seat,422
1056,Unlimited mileage,433
1057,Beach towel,1411
1058,Post-trip cleaning,1431
1059,Post-trip cleaning,1422
1060,Prepaid refuel,445
1063,Post-trip cleaning,1438
1064,Post-trip cleaning,481
1065,Child safety seat,1442
1066,Child safety seat,1450
1067,Portable GPS,488
1068,Cooler,493
1069,Sled,1469
1070,Post-trip cleaning,1472
1071,Bike rack,505
1072,Prepaid EV recharge,1487
1073,Unlimited mileage,520
1074,Post-trip cleaning,1506
1075,Post-trip cleaning,527
1076,Post-trip cleaning,539
1077,Post-trip cleaning,1499
1078,Post-trip cleaning,544
1079,Prepaid refuel,548
1080,Prepaid refuel,554
1083,Pet fee,1547
1084,Prepaid refuel,1556
1085,Prepaid refuel,562
1086,Post-trip cleaning,576
1087,Post-trip cleaning,1563
1088,Phone mount,1574
1089,Portable GPS,584
1090,Child safety seat,609
1091,Cooler,1581
1092,Post-trip cleaning,613
1093,Prepaid refuel,1593
1094,Prepaid refuel,1596
1095,Portable WiFi hotspot,623
1096,Child safety seat,1612
1097,Child safety seat,638
1098,Unlimited mileage,1617
1099,One-way trip,1635
1100,Unlimited mileage,1621
1103,Unlimited mileage,1650
1104,Prepaid refuel,659
1105,Child safety seat,1659
1106,Child safety seat,1664
1107,Unlimited mileage,1667
1108,Prepaid refuel,684
1109,Stroller,1687
1110,Post-trip cleaning,1693
1111,Post-trip cleaning,1701
1112,Child safety seat,691
1113,Portable WiFi hotspot,698
1114,Unlimited mileage,717
1115,Prepaid refuel,718
1116,Unlimited mileage,1711
1117,Prepaid refuel,1733
1118,Unlimited mileage,1724
1119,Pet fee,1740
1120,Prepaid refuel,1752
1123,Portable GPS,746
1124,Cooler,752
1125,Post-trip cleaning,744
1126,Post-trip cleaning,772
1127,Portable WiFi hotspot,764
1128,Child safety seat,775
1129,Child safety seat,1795
1130,Child safety seat,1812
1131,Post-trip cleaning,1806
