features,car_id
Convertible,693
"USB input",1704
"Auto start-stop engine",701
"Toll pass",696
Bluetooth,710
Sunroof,703
"Tow Package",713
GPS,708
"EV / Hybrid",718
"Audio input",1713
Bluetooth,1718
Sunroof,720
"Automatic transmission",1731
Bluetooth,1716
"USB input",1733
"Heated seats",722
"Long-term car",1724
Bluetooth,1737
Bluetooth,1747
"Audio input",1729
"Parking Assist",1749
"USB input",1740
"Audio input",1751
Sunroof,1751
"Automatic transmission",1769
"USB input",1769
Bluetooth,1755
"Collision Mitigation",1742
"SYNC® 3",1742
Bluetooth,1766
"Remote keyless entry system",1742
"Long-term car",1743
"USB input",1776
"All-wheel drive",724
"Audio input",730
"Automatic transmission",727
"All-wheel drive",1746
"All-wheel drive",729
"Long-term car",434
Convertible,1432
"Long-term car",734
GPS,1409
"Heated seats",1409
"Long-term car",1421
GPS,441
"Audio input",1412
"Long-term car",444
"EV / Hybrid",746
"Automatic transmission",1422
"Automatic transmission",737
"All-wheel drive",1415
"Manual transmission",738
"Long-term car",750
"Automatic transmission",741
"Long-term car",752
"Heated seats",1417
"All White Leather Seats",753
"All-wheel drive",743
"Pet friendly",756
"USB input",1785
"Heated seats",758
Bluetooth,759
"Keyless remote entry",759
"USB input",1789
"Audio input",1790
"Automatic transmission",779
Bluetooth,763
"All-wheel drive",781
"Automatic transmission",1792
"USB input",1810
Sunroof,1793
"Heated seats",1811
"Long-term car",1818
"Free Delivery To Dallas Love Field",1801
"Audio input",1814
GPS,1803
Bluetooth,1805
Sunroof,1821
"Long-term car",1824
"Automatic transmission",1827
Convertible,1828
"Backup Camera",1828
"Lane Exit Assist",2165
"Heated seats",2166
"Audio input",2171
"Leather Seats",1834
"Long-term car",2169
Bluetooth,1837
"Audio input",1841
"All-wheel drive",1840
"Heated seats",1840
"Automatic transmission",1844
"Audio input",1850
"USB input",1854
"Heated seats",1849
"Dual climate control",1858
"Automatic transmission",1862
"Audio input",1860
"All-wheel drive",1864
GPS,2181
Sunroof,1865
"Heated seats",1867
"USB input",1872
Bluetooth,2183
"Audio input",2186
"Back up camera",2186
"Sirius XM radio",1881
"Heated seats",1879
"Audio input",2188
GPS,1884
"heated steering wheel",1889
Convertible,1890
"Automatic transmission",1885
"All Season Tires",1891
"Heated seats",1897
"USB input",1899
"All-wheel drive",2194
"Long-term car",2196
"USB input",1901
GPS,1906
"Automatic transmission",1916
"USB input",1915
"Audio input",1908
"USB input",1918
"Long-term car",1914
Sunroof,1920
"Heated seats",2203
"Automatic transmission",2202
"Toll pass",1922
Bluetooth,1924
Navigation,2207
"Automatic transmission",1932
"Audio input",1933
"USB input",1937
"Child seat",1939
"Child seat",1940
Sunroof,1947
Convertible,2209
"Heated seats",2211
"USB input",1949
"Automatic transmission",2213
"Child seat",2214
"EV / Hybrid",2220
"Leather seats, sliding back window,4x4",2220
"Automatic transmission",1956
"Heated seats",1957
"Automatic transmission",2222
"Audio input",2225
"Heated seats",1965
"Automatic transmission",1967
"Audio input",1972
"Toll pass",1970
GPS,1974
"Right turn camera ",1974
"USB input",2235
Sunroof,2232
GPS,1982
"Automatic transmission",1987
Sunroof,1983
"All-wheel drive",1985
"Ski rack",1986
Bluetooth,1992
"Automatic transmission",2000
"Heated seats",2000
"USB input",2238
Bluetooth,1999
GPS,2240
"USB input",2006
Bluetooth,2009
"Automatic transmission",2020
"Long-term car",2023
"Audio input",2022
"Audio input",2027
"USB input",2035
"Keyless entry",2030
"Dual climate",2031
"USB input",2243
"Eco mode",2244
"Toll pass",2037
"Audio input",2038
"USB input",2045
Leather,2044
"Audio input",2047
"Automatic transmission",2253
"Automatic transmission",2254
"Automatic transmission",2257
Bluetooth,2053
Bluetooth,2256
"Heated seats",2260
"Back up camera",2261
"Automatic transmission",2055
"Heated Steering Wheel",2055
"Ski rack",2056
"Automatic transmission",2061
"Automatic transmission",2069
Bluetooth,2067
"Automatic transmission",2071
"Automatic transmission",2270
"Long-term car",2075
Bluetooth,2077
"Long-term car",2079
"USB input",2084
"Long-term car",2081
"All-wheel drive",2085
Bluetooth,2272
"Audio input",2275
GPS,2090
"Rear view Camera ",2090
" Parking assist",2280
"All-wheel drive",2094
"Must be 25+ to rent",2283
Bluetooth,2284
Bluetooth,2285
"Must be 25+ to rent",2101
"Back up camera",2104
"Apple play",2104
"Auto engine start/stop",2106
Bluetooth,2111
"Long-term car",2115
"Audio input",2287
"Audio input",2289
"Reverse Camera",2289
"Audio input",2291
"Toll pass",2295
"Audio input",2119
"Audio input",2126
"Automatic transmission",2127
"Long-term car",2129
"USB input",2137
"Back up camera",2142
"Automatic transmission",2141
"SiriusXM Radio",2141
"parking assist",2135
Bluetooth,2147
"Leather seats",2149
"Panorama Roof",2155
"USB input",2151
"Automatic transmission",2300
Convertible,2303
Bluetooth,2157
"Back up camera",2158
"CarPlay ",2161
Bluetooth,2306
"Automatic transmission",2348
"Heated seats",2310
"Automatic transmission",2313
"Audio input",2316
"Child seat",2319
Bluetooth,2323
"USB input",2350
"Automatic transmission",2354
Sunroof,2326
Convertible,2330
"Pet friendly",2332
GPS,2335
"All-wheel drive",2356
"Heated seats",2337
"All-wheel drive",2357
"Automatic transmission",2340
"Heated seats",2361
"Automatic transmission",2343
"Audio input",2364
"Heated seats",2366
Sunroof,2379
"Automatic transmission",2382
"Automatic transmission",2386
"USB input",2388
"Automatic transmission",2372
"Long-term car",2391
"USB input",2373
"Automatic transmission",2393
"Long-term car",2396
"Targo Top",2398
"Automatic transmission",791
"Long-term car",1
"Heated seats",793
Sunroof,794
"Automatic transmission",4
"Automatic transmission",787
"Heated seats",788
Convertible,5
"Automatic transmission",6
"Toll pass",790
"USB input",7
"Child seat",801
"Audio input",816
"Audio input",817
"Automatic transmission",21
Bluetooth,818
"Audio input",23
GPS,820
"Parking Assist",820
"All-wheel drive",822
"Pet friendly",826
"Child seat",823
"Child seat",812
"Toll pass",830
"EV / Hybrid",832
"Automatic transmission",833
"Manual transmission",834
GPS,851
GPS,836
"Dash Cam",852
"USB input",853
"Automatic transmission",856
"USB input",858
"Automatic transmission",861
GPS,870
"Leather Interior",862
"Long-term car",863
"Cooled Seats",863
Convertible,864
Bluetooth,895
"3.0L V6 Turbo",880
Bluetooth,873
"Audio input",874
GPS,898
"Toll pass",867
"Audio input",868
"Child seat",876
"USB input",877
"Child seat",901
Bluetooth,889
"Automatic transmission",922
Sunroof,922
"Audio input",908
"Heated seats",928
"All-wheel drive",925
"Manufactured by Mercedes-Benz",926
"Pet friendly",914
Bluetooth,916
"Traction Control",916
"Toll pass",935
"USB input",918
"Rear Climate Control",932
"Automatic transmission",939
"Keyless Entry System",932
"Automatic transmission",941
"USB input",941
"Heated seats",933
"Sports Package / Suspension 19” Wheels",933
"Automatic transmission",32
Bluetooth,33
"Automatic transmission",40
"USB input",42
"Toll pass",43
"Child seat",44
"Must be 25+ to rent",944
"USB input",47
"Parking assist",47
GPS,946
Convertible,65
GPS,947
"Automatic transmission",67
"Audio input",68
"Audio input",952
"Automatic transmission",53
Bluetooth,958
"Heated seats",54
"Audio input",961
GPS,962
"Toll pass",962
"Long-term car",969
"Long-term car",972
Bluetooth,974
Convertible,70
Bluetooth,81
"Audio input",981
"USB input",981
"USB input",73
"Automatic transmission",84
"Audio input",91
"USB input",986
"Audio input",92
"USB input",79
"Toll pass",80
"Toll pass",89
"Toll pass",988
"Back up camera",989
Bluetooth,990
"Child seat",1001
"USB input",998
"Long-term car",993
"USB input",1005
"Automatic transmission",1007
"Toll pass",100
"Must be 25+ to rent",109
"All-wheel drive",109
"Toll pass",109
"Apple Car Play ",1013
"USB input",112
"USB input",113
"Heated seats",108
"Long-term car",116
"Audio input",123
"Very Low Mileage Car",117
GPS,118
Bluetooth,125
"Long-term car",1018
"Automatic transmission",127
"Long-term car",128
"Automatic transmission",1021
Convertible,130
"Long-term car",138
"Blind Spot Monitoring",139
"USB input",1023
Bluetooth,1024
"Wireless Phone Charger",1025
"Full leather ",1028
"All-wheel drive",1029
"Audio input",1030
"Audio input",1047
"leather seats",1039
"Hotel Delivery/Pickup in DFW Metroplex",1032
"Automatic transmission",1042
"XM Radio Activated",1033
"LCD Instrument Cluster",1055
GPS,1044
"Automatic transmission",1058
"Must be 30+ to rent",1053
"Automatic transmission",1060
Sunroof,1061
"EV / Hybrid",1067
"Audio input",1072
"Audio input",1078
"Audio input",1079
Sunroof,1079
GPS,1080
"Automatic transmission",157
"Automatic transmission",152
"USB input",1083
"All-wheel drive",153
"Toll pass",154
"Can turn on/off car with Key Fob",160
"Must be 25+ to rent",169
"USB input",169
"HOV-Transponder: 3+ toll-free in express",163
"USB input",164
GPS,1098
Bluetooth,1099
"Automatic transmission",172
"Parking Assist",172
"Child seat",1094
"Automatic transmission",175
"Heated seats",176
Bluetooth,1110
"EV / Hybrid",1107
Bluetooth,1117
"USB input",180
"Audio input",1114
"Heated seats",1114
"Push to start",1114
GPS,1123
"Audio input",1116
"Audio input",1128
"Must be 25+ to rent",1129
"Yellow pull lever in glove box drops dvd",1116
Bluetooth,185
"USB input",1131
"Automatic transmission",1134
"Audio input",188
"Audio input",189
"USB input",206
"USB input",1142
Convertible,199
"Audio input",192
"Automatic transmission",201
Sunroof,193
"Bike rack",1147
GPS,1161
"Sirius XM radio",1161
"USB input",1162
Convertible,1151
"Automatic transmission",1152
"Pet friendly",1164
"Audio input",1173
"USB input",212
Convertible,213
"Audio input",1168
Sunroof,214
GPS,215
"Automatic transmission",216
"Automatic transmission",219
"Long-term car",221
Convertible,224
Convertible,1183
GPS,1189
"Heated seats",1184
"Audio input",229
"Long-term car",231
Bluetooth,232
Sunroof,1186
"3rd ROW!!!",233
"Long-term car",1193
Sunroof,234
"Side senors and blind spot assist",235
"Long-term car",1199
"Audio input",248
"Automatic transmission",237
"Long-term car",1203
"Automatic transmission",239
"Long-term car",1206
Convertible,1208
"Customizable interior ambient lighting",1208
"Automatic transmission",1211
Bluetooth,1214
"Must be 25+ to rent",1228
"USB input",1216
"Heated seats",1228
"Heated seats",1229
"Audio input",1231
GPS,1233
"Automatic transmission",1222
"Automatic transmission",266
"Lane departure assist",1222
"Automatic transmission",1238
Bluetooth,257
Sunroof,267
"Long-term car",259
"Parking Assist",259
"Heated seats",1225
"Audio input",1226
"USB input",1226
"Automatic transmission",263
GPS,264
Bluetooth,274
"USB input",1247
"Automatic transmission",293
"USB input",293
Bluetooth,277
Bluetooth,278
GPS,288
"Child seat",288
"Long Range Battery",288
"Must be 25+ to rent",282
"Bike rack",282
"Rear parking assist",297
"Automatic transmission",300
"Automatic transmission",1259
"Automatic transmission",304
"Automatic transmission",1261
"Automatic transmission",1263
"USB input",1263
"Child seat",313
"Automatic transmission",315
GPS,316
"Audio input",1272
"USB input",319
Bluetooth,1281
"Audio input",1282
"Toll pass",1276
"Bike rack",1284
Sunroof,1284
"EV / Hybrid",1279
"USB input",1279
Convertible,323
Bluetooth,1280
Bluetooth,326
"110-volt power, HDMI & headphone inputs",1291
"Child seat",1294
"Multi Media Player",1294
"Long-term car",1292
"Audio input",336
"Automatic transmission",337
Bluetooth,338
GPS,346
"Automatic transmission",1304
GPS,1305
"Toll pass",1305
"Long-term car",349
Bluetooth,1307
"USB input",351
"Audio input",1317
"USB input",1310
"USB input",1319
"Heated seats",1328
"Automatic transmission",1313
"Automatic transmission",1331
"Audio input",1325
"Toll pass",1325
"USB input",356
Bluetooth,358
"Child seat",1334
"Audio input",1335
GPS,1349
"EV / Hybrid",1339
"Audio input",362
"Heated and Cooling seats",1349
"Automatic transmission",1350
"USB input",1342
"4 USB 2.0 Outlets",366
"Automatic transmission",1344
GPS,1351
"USB input",368
"All-wheel drive",1353
Bluetooth,1363
GPS,1364
"Back-up Camera",1354
"Automatic transmission",375
"I love the air conditioned seats! ",372
"USB input",373
"Toll pass",377
"Audio input",379
Bluetooth,390
"Pet friendly",396
"Automatic transmission",393
"Automatic transmission",1368
"USB input",394
Sunroof,384
"Long-term car",403
"Automatic transmission",405
"Toll pass",407
"Toll pass",1376
"USB input",1393
"Audio input",1378
"Automatic transmission",1396
"Automatic transmission",1397
Bluetooth,1397
"Pet friendly",1390
Sunroof,1382
"Heated seats",1404
Convertible,417
"Automatic transmission",426
"Audio input",413
"Automatic transmission",414
GPS,429
"All-wheel drive",415
"Heated seats",415
Bluetooth,448
"Must be 25+ to rent",432
GPS,451
"Autopilot ",432
"Long-term car",1435
"Automatic transmission",454
GPS,455
Sunroof,1436
"Park Assist, Active Safety, Leather",456
Bluetooth,457
"Brembo brakes",470
Convertible,471
"Automatic transmission",466
"Leather Heated Seats",467
GPS,469
"Rear Seat Entertainment",469
"Audio input",478
"All-wheel drive",477
Sunroof,481
Bluetooth,488
"Long-term car",489
"Long-term car",1450
Sunroof,1450
GPS,493
"Toll pass",493
"Automatic transmission",1455
"All-wheel drive",1456
"Audio input",1460
"LEATHER SEATS",1460
"Automatic transmission",1458
"Heated seats",1462
Bluetooth,1475
"Audio input",1477
GPS,1481
"Heated seats",498
"Automatic transmission",500
"Automatic transmission",501
Sunroof,1484
Sunroof,1485
"Audio input",505
Sunroof,512
"USB input",1489
"Must be 30+ to rent",1490
"Heated Steering Wheel",516
"Keyless Entry / Start",516
"Long-term car",508
"Bike rack",519
"Audio input",511
"4G LTE WI-FI HOTSPOT",511
"Heated seats",522
GPS,1493
"Heated seats",1507
"Heated seats",1508
"Long-term car",1510
"Emergency collision warning/braking",527
"Tow Package",526
Convertible,1497
"Automatic transmission",545
"Audio input",532
Convertible,546
"USB input",533
"Audio input",1502
"Automatic transmission",549
Convertible,551
"Audio input",541
"Audio input",542
"Long-Term Car",554
"Audio input",1512
"Leather Seats",556
Sunroof,557
"Automatic transmission",559
"Automatic transmission",1522
"Long-term car",1530
"Cooled Seats",1523
"EV / Hybrid",1519
"Automatic transmission",1526
"Audio input",1535
"Automatic transmission",1539
Bluetooth,1539
"Audio input",1541
"Automatic transmission",1547
Bluetooth,1537
"Audio input",1549
"Automatic transmission",1550
"Audio input",563
"USB input",570
"All-wheel drive",1558
Sunroof,1558
"USB input",1559
"Audio input",575
"USB input",583
Convertible,1560
"Audio input",1576
"USB input",1567
"All-wheel drive",1578
"Must be 25+ to rent",1579
Bluetooth,1565
"Automatic transmission",1574
Bluetooth,584
"Long-term car",586
GPS,587
"Audio input",598
Bluetooth,1580
"Long-term car",600
"Heated seats",590
"USB input",1583
"Audio input",592
"Audio input",1585
"Apple CarPlay ",604
"Long-term car",594
"Snow tires or chains",594
"USB input",607
Sunroof,1588
GPS,1590
"Automatic transmission",1593
"Manual transmission",1605
"Long-term car",1606
"Rear View Back-Up Camera",1594
GPS,630
Sunroof,1595
Bluetooth,631
Sunroof,1610
"Must be 25+ to rent",633
"USB input",1611
"All-wheel drive",1601
Bluetooth,635
Bluetooth,1603
"Delivery to Businesses",1613
"Autonomous Emergency Breaking",1613
Bluetooth,1615
"USB input",638
"USB input",1617
Convertible,1645
Bluetooth,1620
"USB input",641
"Audio input",1638
"Must be 25+ to rent",644
"USB input",1624
"USB input",1625
Sunroof,645
GPS,1651
"Seats 7 comfortably with room  at the re",1651
"Audio input",647
"Audio input",1654
"Toll pass",650
"Child seat",665
"Audio input",1656
"Long-term car",1658
Sunroof,1658
"Toll pass",655
"Long-term car",656
Bluetooth,671
"3rd Row that anyone can fit...like 6ft +",672
"Automatic transmission",1682
GPS,1665
"USB input",1665
"Keyless/Remote Start",1665
"Automatic transmission",1686
"Audio input",1680
"Automatic transmission",1668
"Long-term car",674
"Long-term car",675
"Automatic transmission",1688
"Long-term car",678
"Pet friendly",1690
"Long-term car",689
"Heated seats",1695
"USB input",1696
"Heated seats",1698
"Ski rack",691
"Snow tires or chains",691
Bluetooth,1703
"Heated seats",692
"Audio input",700
"Heated seats",694
"Automatic transmission",1705
"Audio input",702
"All-wheel drive",703
Bluetooth,712
"Automatic transmission",706
"Audio input",708
"Heated seats",716
"Automatic transmission",719
GPS,1715
"Snow tires or chains",1715
"Automatic transmission",1716
"Automatic transmission",1733
Bluetooth,722
"Toll pass",1723
"Heated seats",1735
"Toll pass",1725
Convertible,1728
"All-wheel drive",1749
"backup cam",1759
"USB input",1760
"Automatic transmission",1761
"All-wheel drive",1768
"Audio input",1753
"Blind Side Warning",1753
"Long-term car",1770
"Audio input",1756
Sunroof,1765
"Leather seats",1771
"Automatic transmission",1773
GPS,1775
Convertible,1744
"Audio input",1777
"Child seat",1745
Bluetooth,730
"USB input",1779
"Audio input",1432
"USB input",1432
"All-wheel drive",733
Bluetooth,1408
GPS,735
"Audio input",439
"Automatic transmission",1411
"DVD Player on Back Headrests",1411
"Audio input",443
"USB input",735
"Automatic transmission",736
Bluetooth,736
"Automatic transmission",767
"Automatic transmission",1784
"Long-term car",769
"USB input",769
"USB input",751
Bluetooth,771
"Automatic transmission",772
Bluetooth,1426
"Ski rack",1427
GPS,1785
"Audio input",758
"Long-term car",1786
"Automatic transmission",1787
Bluetooth,1429
Sunroof,1807
"Toll pass",761
"Audio input",1794
"Audio input",1791
GPS,764
"USB input",764
Sunroof,1795
"Bike rack",1817
"Child seat",1817
"Audio input",1801
Bluetooth,1813
"Audio input",1802
Bluetooth,1815
Bluetooth,1816
"Child seat",1806
"Leather Seats",1824
"Heated rear seats",1831
GPS,1832
"Keyless Remote Start",1828
"Automatic transmission",1830
"All-wheel drive",1833
"Heated seats",2167
"USB input",2172
"Automatic transmission",1836
"Automatic transmission",2175
"Back up camera",1838
"Automatic transmission",1842
GPS,1843
"Automatic transmission",1847
"Audio input",1848
"Audio input",1849
Sunroof,1849
"Automatic transmission",1859
"Heated Seats",1859
"Long-term car",1860
"Automatic transmission",2178
Bluetooth,2182
"Automatic transmission",1866
"USB input",1870
"Automatic transmission",1869
"Automatic transmission",2184
Convertible,2186
