insurance,car_year,city,description,zip_code,trim,star_rating,gas,guidelines,model,state,add_delivery_cost,car_id,make,mpg,n_of_seats,delivery_cost_airport,vehicle_type,distance_included,n_of_doors,host_id,add_delivery_info,delivery_airport,car_page_url,business_class
"Liberty Mutual",2018,los-angeles,"Copy this link, Copy this link, Copy this link:

https://turo.com/c/yanal12

- $25 credit toward rental when signing up NEW account with the link above
- Make sure you are a first time user, duplicate accounts with Turo will get you banned
- It show up as a invitation from me, click on green box to sign up.


It is absolutely brand new dream car. I love it. You're gonna love it toooooo !!!",90045,none,5.0,Gas,"['By booking my vehicle, you are agreeing that you have read and accepted all Terms and Conditions below. •The vehicle must be returned in the same condition that it was received. If you can’t find a car wash/gas station, both are conveniently located 30 seconds away from my drop off lot. You can inquire about more information by directly messaging me. •In the event that the vehicle has been returned without a full gas tank, you are responsible for the actual gas bill + a turo administrative fee. You can add $70 for post trip refueling to your booking by the modifying the trip and adding this option located within the "" Extras "" section.•In the event that the vehicle is returned filthy, you are responsible for additional cleaning charges, which range from $30 to $250; or you can add $25 for post trip cleaning to your booking by the modifying the trip and adding this option located within the "" Extras "" section. •Smoking cigarettes and marijuana is STRICTLY PROHIBITED inside the vehicle. Any violation of the smoking policy will be subject to up to a $250 fee. All turo cleaning policies may be reviewed by following the link:  https://support.turo.com/hc/en-us/articles/360000808347-Cleaning-policy• Turo administrative fee added to any parking violations issued by city and not paid directly by you. •The vehicle must be returned on time (as indicated on your booking reservation) as the next client is scheduled immediately after your drop off. (Please plan on approximately 30 minutes to take care of vehicle maintenance duties as stated above, prior to returning my vehicle.)* Late return fee is $50/hourly + turo administrative fee may apply if you are late returning the car. I hope you enjoy my car as I have tried very hard to make your reservation as convenient, pleasant and hassle free as possible and I look forward to booking with you again.']",qx30,ca,90,220,infiniti,28,none,[],suvs,none,4,263,"Up to 20 miles","['Los Angeles International Airport']","https://turo.com/rentals/suvs/ca/los-angeles/infiniti-qx30/393773",0
"Liberty Mutual",2018,los-angeles,"2019 Honda Accord Sport. Apple CarPlay and Android Auto enabled!",90037,Sport,5.0,"Gas (Premium)",none,accord,ca,120,240,honda,32,5,"['$120']",cars,none,4,270,"Up to 15 miles","['Los Angeles International Airport']","https://turo.com/rentals/cars/ca/los-angeles/honda-accord/574746",1
"Liberty Mutual",2014,loganville,"My car is unique because it’s clean and very well kept and still has that new car smell.
It has a low mileage and is up to date with all maintenances. Paint still like as it’s been garage kept from day one and you’ll love the way it drives.",30052,"E 400",0.0,Gas,none,"e class",ga,55,260,"mercedes benz",24,4,"['$55']",cars,none,2,363,"Up to 50 miles","['Hartsfield-Jackson Atlanta International Airport']","https://turo.com/rentals/cars/ga/loganville/mercedes-benz-e-class/543079",0
"Liberty Mutual",2014,herndon,none,20171,"Technology Package",5.0,"Gas (Premium)",none,tlx,va,0,280,acura,28,5,"['$20']",cars,1000,4,228,"Your location","['Washington Dulles International Airport']","https://turo.com/rentals/cars/va/herndon/acura-tlx/479142",1
"Liberty Mutual",2015,richardson,"Your travel plans, whether local or long-distance, are too important to entrust to anyone less than a five-star host with a 100% and 8-minute response rate and all newer model cars! This is our brand spanking new Lexus RX 350L. Yes, this is the one with the third row and can seat seven adults comfortably.

Meet RX, a brand new top-of-the-line Lexus RX350L with 2-tone parchment leather interior, heated/ACseats, SiriusXM radio, GPS through Scout navigation, all on a 12.4"" display. The infotainment center is loaded with apps to give you everything from local gas prices to weather, to sports schedules wherever you happen to be driving. The ride is smooth, quiet, and luxurious. Once you rent this car, you'll want to keep extending your reservation over and over to delay the grief you'll inevitably feel when you have to bring it back. Yeah, you have to bring it back. Seriously...you do!

Primary pickup and return is in a very safe location at an apartment complex near the DFW airport and your host is a marketing executive with a Dallas based company.

Every month 10% of the profits from this vehicle is used to support an entrepreneur and his or her business in an impoverished country around the world.",75081,Luxury,5.0,"Gas (Premium)","[""Willing to do Long-term Rentals at very low cost. Will also do daily or weekly extensions so you wont have to pay all at once!!! Just book the car, and message us to let us know and we'll block off the calendar for you!We aim to make sure that our renters have everything they need on a timely basis. We also give out a GPS and have available toddler seats and a stroller. Just let us know if you need it. And thank you for renting from us! And please, no smoking!""]","rx 350l",tx,120,300,lexus,22,7,"['$60', '$120']",suvs,500,4,220,"Up to 25 miles","['Dallas/Fort Worth International Airport', 'Dallas Love Field']","https://turo.com/rentals/suvs/tx/richardson/lexus-rx-350l/502787",0
"Liberty Mutual",2017,south-gate,"BRAND NEW 2017 GMC TERRAIN.  Great gas mileage 4 cylinder and very spacious interior.  Very comfortable for road trip or just to get around the city. Huge trunk, folding/sliding rear seats, backup camera, Bluetooth  usb/auxiliary ports. Automatic Transmission

-----------------------------------------------------------

First time turo user?  GET $25 CREDIT TOWARDS 1ST TRIP.

Follow link:  https://turo.com/c/mauricioj

Instructions:  
1. Create TURO Account using link above.
2. Get pre-approved to drive by uploading a photo of your driver's license and credit card.
3. Wait for verification or call TURO (866)735-2901
4. Request to rent this car or any other of my cars available.


-----------------------------------------------------------

Uber/Lyft code provided upon request for 1st ride.",90280,SLE-1,4.5,Gas,"['NO SMOKINGNO PETSNO FOODDETAIL FEE APPLIED BY TURO IF CAR RETURNED IN UNACCEPTABLE CONDITION.']",terrain,ca,60,320,gmc,26,5,"['$60']",suvs,750,4,183,"Up to 10 miles","['Los Angeles International Airport']","https://turo.com/rentals/suvs/ca/south-gate/gmc-terrain/300739",0
"Liberty Mutual",2016,los-angeles,"Alfa Romeo Stelvio  is a new breed of high- performance SUV with premium technology features and authentic Italian craftsmanship designed to stir emotions.
Among the more fun-to-drive compact luxury crossovers available.
Powerful and exciting engine.
Distinctive styling and wheels help it stand out in the crowd.
ALL wheel drive option lets you easily beat any terrain. Perfect for mountain trips!
2.0 liter engine is perfect combination of power and fuel efficiency! 28 mpg average!!
 

Hello! Thank you for looking at my beautiful ALFA ROMEO STELVIO - super luxury Italian car! Fully loaded nice black leather seat. This car looks, feels, and runs like a ship! Great working AC as well as a neck heater, and seat warmer to accommodate for any weather. If you like a comfortable ride, luxury style, big size - you totally gonna love this car! 
We have a small sweet present to make your trip more enjoyable!

* Please fill up the (Premium) gas tank with receipt on the same level as you have picked up the car. There will be $20 inconvenience fee for unfilled gas tank.**

* No smoking or pets please. Fine 250$

Engine	2.0L 4 Cylinders twin turbo
Transmission	9-speed Automatic
Exterior	Midnight Blue
Interior	Black
Drive Train	ALL Wheel Drive
Style      SUV
Doors	5

Please NO PETS &amp; NO SMOKE

You will receive the vehicle with a full tank of gas and should be returned with a full tank. Vehicle must be returned in the same condition it was received! My cars are always clean inside &amp; out. 
PLEASE DO NOT BE LATE ON RETURNING THE VEHICLE, I HAVE BACK TO BACK RENTALS (A LATE FEE WILL BE CHARGED)",90045,"Ti Sport",5.0,"Gas (Premium)","['Please NO PETS & NO SMOKE']",stelvio,ca,none,340,"alfa romeo",25,5,"['$50', '$40', '$40']",suvs,none,4,236,none,"['Los Angeles International Airport', 'Bob Hope Airport', 'Van Nuys Airport']","https://turo.com/rentals/suvs/ca/los-angeles/alfa-romeo-stelvio/544532",1
"Liberty Mutual",2014,atlanta,"Ultra clean and sporty Range Rover sport. Fully loaded and ready for a night out in Atlanta. Drive around town in luxury and stand out with its unique stance thanks to the custom wheels. 

Must be 21 to book. No exceptions. 

No airport deliveries between 7am-8:30am 
And 5pm-7pm.  Mon to Friday. Car can still be picked up at anytime.",30307,HSE,5.0,"Gas (Premium)","['Premium gas only*  please keep gas Receipts’s.  No smoking $250 fine for smoking, ashes or smoke smells. No warnings*** No paper I.d.s or temporary allowed unless approved by turo.']","range rover sport",ga,0,360,"land rover",20,5,[],suvs,1000,4,234,"Up to 5 miles","['Hartsfield-Jackson Atlanta International Airport']","https://turo.com/rentals/suvs/ga/atlanta/land-rover-range-rover-sport/527507",1
"Liberty Mutual",2018,los-angeles,"PROMPT CONCIERGE DROP OFF SERVICE 
AIRPORT | HOTEL | HOME | OFFICE | STUDIO SERVICE

You're renting a very rare Porsche Cayman GTS with Manual transmission active exhaust, SPORTS PLUS featuring rev-matching during downshifts (blips the gas pedal for you for a smooth transition, so you don't have to ""heel toe). SPORTS PLUS also opens up the exhaust valves in the muffler for a super aggressive sound and better air flow.
Factory-lowered with 20 inch wheels.
ALCANTARA AND leather interior.

Pick-up/drop-off is free in Downtown LA. Near the Disney music Hall

Please, NO SMOKING (Cigarettes, Cigars, Weed, Vaping, E-Cigs, etc.) An additional $250 cleaning fee will be assessed if this rule is violated. 

Be safe and have a great drive! We are here to make your trip as easy and enjoyable as possible. Please don't hesitate to reach out with any questions before, during or after your trip as we're here to help!

New Turo Users - Use this URL in a browser (does not work in-app) and get $25 off on your first trip. 
https://turo.com/c/stevent1

*** PLEASE NOTE TURO IS A CAR SHARING COMMUNITY *** 
In other words, please treat the vehicle as if it was your own. We treat and take care of all of our vehicles as best as we can, so we definitely appreciate when that effort is reciprocated. 

FAQs
Can I extend my trip?
Yes! If you would like to extend your trip please modify your trip in the Turo app and we will approve it right away. 

HABLAMOS ESPANOL!!
PARLIAMO ITALIANO!!",90012,GTS,4.5,"Gas (Premium)","['We want you to have fun, but this is not for racing we have Performance monitoring and GPS geofencing around known tracks, canyons.We offer free gated underground parking on a case by case basis,  please let us know in advance if you need this,  it is not always available']",cayman,ca,70,380,porsche,22,2,"['$65', '$90', '$90', '$65', '$65', '$70']",cars,none,2,241,"Up to 20 miles","['Los Angeles International Airport', 'John Wayne Airport', 'LA/Ontario International Airport', 'Bob Hope Airport', 'Long Beach Airport', 'Van Nuys Airport']","https://turo.com/rentals/cars/ca/los-angeles/porsche-cayman/481895",0
"Liberty Mutual",2006,los-angeles,"Can't beat a Honda! Great for commuting and errands or even road trips. Roomy for 5 adults and pretty spacious trunk. Great on gas too!

Radio with AUX in. And amazing cup holders!",90064,LX,5.0,Gas,none,civic,ca,none,400,honda,30,5,"['$35']",cars,none,4,448,none,"['Los Angeles International Airport']","https://turo.com/rentals/cars/ca/los-angeles/honda-civic/538584",0
"Liberty Mutual",2011,atlanta,"*** Free Airport Pick Up***

2018 Tesla Model 3 Long Range

We are located in Buckhead, GA and are willing to organize airport or custom delivery as necessary.
Here is your opportunity to try out the brand new 2018 Tesla Model 3! With over 400,000 reservations, there is a year + long waiting list for this vehicle.  

This Model 3 features the best performance and longest range battery pack options. The all electric range is 310 miles with Supercharging capabilities. The Tesla Superchargers restore the batter to full power around 7 dollars and take under 1 hour. Superchargers are available at Atlantic station, the Decatur Tesla store and Lenox Mall. You can also charge at almost any public charging station or any normal electric outlet.

Enhanced Autopilot is enabled on this car.  Autopilot is a driver assistance feature which still requires you to have your hands on the wheel and be ready to take over driving at any moment.  Please review the Autopilot safety information in the manual on the touchscreen prior to activating the feature.

The incredible high power motor accelerates you from 0-60 in under 5 seconds!  And without shifting or noise, it feels like a spaceship.  Combine this with a futuristic interior and large displays, this vehicle is sure to impress.

This Model 3 is equipped with a driver facing camera.  There is no live owner/driver video feed but be aware Tesla may be able to access the logs with footage from that camera.  There are also 7 exterior cameras used for the Autopilot system and 1 backup camera when putting the car in reverse.

You may return the vehicle with at least 25% charge to incur no recharging fee.  If you return it with 10-24% the recharging fee of $25 will be submitted for reimbursement.  At no point should you allow the battery to fall below 10%.

There is no smoking of any kind allowed in the car, please treat it as if it were your own car.

Features:
Autopilot with Full Self Driving option
74kw longest range battery pack (310+ miles)
Premium Package
Red Paint over Black leather interior
Full Glass Roof
19"" Sport Alloy Wheels
Streaming Radio

New to Turo? Renting my car is simple: 
1) Create a Turo account
2) Upload your driver's license and get pre-approved to rent. 
3) Once you get the pre-approval notification, place a reservation to rent the car!",30309,none,5.0,none,"['No pets and no smoking of any kind. Speed is limited to a max of 85 mph. Do not allow the battery drop below 10% charge.The charge limit is set to 85%.  You may charge to a max of 90% if required for your driving needs, but you must not leave the car above 90% for more than 1 hour.Location, speed, battery, and other details about the car are monitored remotely.  Attempting to disable remote monitoring will be reported to Turo who will take, in its sole discretion, appropriate actions, including, but not limited to, account suspension, law enforcement referral, and charging the traveler an administrative fee.Violating the excessive speed rule will result in Valet Mode being enabled for the remainder of the rental.  When Model 3 is in Valet mode, the following restrictions apply: • Speed is limited to 70 mph (113 km/h). • Maximum acceleration and power are limited. • Front trunk and glovebox are locked. • Home and Work locations are not available in the navigation system. • Voice commands are disabled. • Traffic-Aware Cruise Control is disabled • The Mobile Access setting is disabled. • Driver Profiles are not accessible. • Keys (authenticated phones and key cards) cannot be authenticated or forgotten.• Wi-Fi and Bluetooth are disabled. When Model 3 is in Valet mode, you cannot pair new Bluetooth devices or view or delete existing paired devices.Curbed wheels will result in a $100 charge to repair.']","model 3",ga,0,420,tesla,none,5,[],cars,none,4,361,"Up to 10 miles","['Hartsfield-Jackson Atlanta International Airport']","https://turo.com/rentals/cars/ga/atlanta/tesla-model-3/418356",1
